0 verbose cli D:\Program Files\nodejs\node.exe D:\工作资料\code\sysSpaider\gakuran-site\.corepack\v1\npm\12.0.2\bin\npm-cli.js
1 info using npm@12.0.2
2 info using node@v24.19.0
3 silly config load:file:D:\工作资料\code\sysSpaider\gakuran-site\.corepack\v1\npm\12.0.2\npmrc
4 silly config load:file:D:\工作资料\code\sysSpaider\gakuran-site\.npmrc
5 silly config load:file:C:\Users\Administrator\.npmrc
6 silly config load:file:D:\Program Files\nodejs\etc\npmrc
7 verbose title npm ci
8 verbose argv "ci" "--ignore-scripts" "--prefer-offline" "--no-audit" "--no-fund"
9 verbose logfile logs-max:10 dir:D:\工作资料\code\sysSpaider\gakuran-site\.npm-cache\_logs\2026-08-21T08_20_15_438Z-
10 verbose logfile D:\工作资料\code\sysSpaider\gakuran-site\.npm-cache\_logs\2026-08-21T08_20_15_438Z-debug-0.log
11 silly logfile done cleaning log files
12 silly packumentCache heap:4496293888 maxSize:1124073472 maxEntrySize:562036736
13 silly packumentCache heap:4496293888 maxSize:1124073472 maxEntrySize:562036736
14 silly idealTree buildDeps
15 silly reify moves {}
16 http cache zod-validation-error@https://registry.npmmirror.com/zod-validation-error/-/zod-validation-error-4.0.2.tgz 0ms (cache hit)
17 http cache youch@https://registry.npmmirror.com/youch/-/youch-4.1.0-beta.10.tgz 0ms (cache hit)
18 http cache youch-core@https://registry.npmmirror.com/youch-core/-/youch-core-0.3.3.tgz 0ms (cache hit)
19 http cache zod@https://registry.npmmirror.com/zod/-/zod-4.4.3.tgz 0ms (cache hit)
20 http cache yocto-queue@https://registry.npmmirror.com/yocto-queue/-/yocto-queue-0.1.0.tgz 0ms (cache hit)
21 http cache yoga-layout@https://registry.npmmirror.com/yoga-layout/-/yoga-layout-3.2.1.tgz 0ms (cache hit)
22 http cache yallist@https://registry.npmmirror.com/yallist/-/yallist-3.1.1.tgz 0ms (cache hit)
23 http cache ws@https://registry.npmmirror.com/ws/-/ws-8.18.0.tgz 0ms (cache hit)
24 http cache wrangler@https://registry.npmmirror.com/wrangler/-/wrangler-4.92.0.tgz 0ms (cache hit)
25 http cache workerd@https://registry.npmmirror.com/workerd/-/workerd-1.20260515.1.tgz 0ms (cache hit)
26 http cache word-wrap@https://registry.npmmirror.com/word-wrap/-/word-wrap-1.2.5.tgz 0ms (cache hit)
27 http cache which-typed-array@https://registry.npmmirror.com/which-typed-array/-/which-typed-array-1.1.20.tgz 0ms (cache hit)
28 http cache which-collection@https://registry.npmmirror.com/which-collection/-/which-collection-1.0.2.tgz 0ms (cache hit)
29 http cache which-builtin-type@https://registry.npmmirror.com/which-builtin-type/-/which-builtin-type-1.2.1.tgz 0ms (cache hit)
30 http cache which@https://registry.npmmirror.com/which/-/which-2.0.2.tgz 0ms (cache hit)
31 http cache which-boxed-primitive@https://registry.npmmirror.com/which-boxed-primitive/-/which-boxed-primitive-1.1.1.tgz 0ms (cache hit)
32 http cache webpack-sources@https://registry.npmmirror.com/webpack-sources/-/webpack-sources-3.4.1.tgz 0ms (cache hit)
33 http cache webpack@https://registry.npmmirror.com/webpack/-/webpack-5.106.2.tgz 0ms (cache hit)
34 http cache web-vitals@https://registry.npmmirror.com/web-vitals/-/web-vitals-4.2.4.tgz 0ms (cache hit)
35 http cache vitefu@https://registry.npmmirror.com/vitefu/-/vitefu-1.1.3.tgz 0ms (cache hit)
